0
yolov3-bdd100k
Total BFLOPS 65.864 

 seen 64 
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
 If error occurs - run training with flag: -dont_show 
Resizing
512 x 512 
 try to allocate workspace = 18874369 * sizeof(float),  CUDA allocate done! 
Loaded: 0.000027 seconds
Region 82 Avg IOU: 0.311345, Class: 0.396465, Obj: 0.537526, No Obj: 0.456215, .5R: 0.333333, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.478766, Class: 0.499136, Obj: 0.326328, No Obj: 0.491986, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.518764, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.166687, Class: 0.719716, Obj: 0.450656, No Obj: 0.428965, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.121552, Class: 0.816969, Obj: 0.344897, No Obj: 0.488760, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.263201, Class: 0.555177, Obj: 0.595219, No Obj: 0.534947, .5R: 0.074074, .75R: 0.000000,  count: 27
Region 82 Avg IOU: 0.246296, Class: 0.450477, Obj: 0.435502, No Obj: 0.415167, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 94 Avg IOU: 0.114287, Class: 0.492110, Obj: 0.402566, No Obj: 0.488709, .5R: 0.071429, .75R: 0.000000,  count: 14
Region 106 Avg IOU: 0.062844, Class: 0.256117, Obj: 0.642507, No Obj: 0.546082, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.063306, Class: 0.618518, Obj: 0.257174, No Obj: 0.408025, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 94 Avg IOU: 0.270612, Class: 0.867038, Obj: 0.232549, No Obj: 0.489892, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.124663, Class: 0.502117, Obj: 0.826240, No Obj: 0.553555, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: 0.044537, Class: 0.574047, Obj: 0.477228, No Obj: 0.404131, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 94 Avg IOU: 0.004796, Class: 0.637184, Obj: 0.559213, No Obj: 0.491554, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 106 Avg IOU: 0.006333, Class: 0.893145, Obj: 0.679468, No Obj: 0.558776, .5R: 0.000000, .75R: 0.000000,  count: 8
